index,SMILES,PubChem_CID
213797,C1=CC(=C(C=C1F)C2=CC(=CC(=C2)F)F)C=O,108257497
281379,CN1CC2=CC=CC=C2CC1C=O,15933732
57666,C1=NC(=NC(=N1)F)C=O,87328144
276530,CN1C(=NC(=N1)C2=CC=CC=C2)C=O,13224143
152801,CC1CCC(N1C2=CC=C(C=C2)F)C=O,175609633
113106,C=C(COC1=CC=CC=C1C=O)CF,152544701
66005,C1=C(C(=C(C(=C1Br)F)Br)Br)C=O,88309299
9810,C/C=C/C=C/C(=O)C1=C(C=C(C(=C1)C=O)OC)O,44566277
221492,CC1=CC2=NC(=C(N2C=C1)C=O)C(F)(F)F,115405083
212696,C/C=C/COC1=C(C=C(C=C1)C=O)F,107689631
20893,CC(=C(C)CCC=O)C,15151927
174929,CC(C)(C)OC(=O)C(=C)C[C@@H](CC1=CC=CC=C1)C=O,135007208
220748,C1=CC2=C(C=C1F)NC3=C2NC(=C3)C=O,115007489
29876,C1=C2C(=C(O1)C=O)O2,20340182
224786,CSC1=C(C=C(C(=C1)F)CCC=O)F,117308124
268969,CC1=CC2=C(C=C1)NC(=C2C=O)Cl,3614179
233241,C1=C(N=C(C(=C1I)C(F)F)CCl)C=O,130087505
273602,CN1C2=CC=CC=C2C(=C1SCC(=O)O)C=O,11543325
178678,COC1=CC=C(C=C1)C/C(=N\O)/C=O,162405096
42376,C1=CC=C(C(=C1)C2=CC(=C(C=C2)C=O)F)F,23005044
189823,C1CC2CC1CN2C3=C(C=C(C=C3)C=O)F,61560891
96280,C1=C(C=C(C(=C1Cl)N2C(=CC(=N2)C=O)C(F)(F)F)Cl)Cl,139675080
163775,CC(=CCN1C=C(C2=CC=CC=C21)C=O)C,12689911
35762,C1CN(CCC1C(=O)NC2C3CC4CC(C3)CC2C4)C5=CC=C(C=C5)C=O,177663153
53638,C1CC2=C3C(=NC=C2F)C=CC(=O)N3C1C=O,86640630
42414,CC1(CC1(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C=O,23051258
220562,C1=CC(=C(C=C1Cl)OC2=CC(=CC(=C2)F)F)C=O,114844912
65729,CNC(CCNC1=C(C=C(C=C1)C(=O)O)F)C=O,88276637
199350,COC1=C(C=C(C=C1)C=O)C2=CC(=CC(=C2)F)F,82107195
94899,CC1CCC(C1)COC2=C(C=C(C(=C2)F)C=O)C3CC3,138699949
23604,C1=C(C(=CC(=C1OC(F)F)OC(F)F)[N+](=O)[O-])C=O,170915486
19647,COC1=C(C=CC(=C1)C=O)OCF,135068803
284888,C1CC(=O)N2CNCC(C[N+]2(C1NC(=O)CC3=CC=CC=C3)[O-])C(=O)NC(CC(=O)O)C=O,18465823
171140,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C(=C(C=C3C2)O)C=O)O,129824550
223594,C1=CC2=C(C=C1F)S(=O)(=O)C(=C2)CC=O,117195868
238539,C1=CC(=C(C(=C1Cl)C2=CC(=C(N=C2)C=O)F)Cl)Cl,134638035
250443,CC(=O)SCC=CC1=C(C=C(C=C1)F)C=O,169457071
124338,C1CCN(C1)C2=NN=C(C=C2)NC(=O)C3=CC(=C(C(=C3)F)O)C=O,163229954
19055,CSC1=C(C=C(C=C1)C=O)F,11275257
236605,C1=CC=C(C(=C1)C2=C(C=CN=C2C3=CC=CC=C3F)C=O)F,131870181
232296,C1=C(C(=C(N=C1C(F)F)C=O)C#N)I,130077582
194984,CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C=O)C4CC4)F,71552597
148726,C1=CC(=C(C=C1C(F)(F)F)C=O)N=O,174873175
217903,C1=NN=C(N1C(F)(F)F)C=O,112711985
251806,CC1COC(=O)N1C2=NOC3=C2C=C(C(=C3F)F)C=O,169544895
38142,CC1(CC1(F)F)C=O,14695228
78740,C1=C(C(=CC(=C1F)F)C#N)C=O,117276426
290662,C/C=C/OCOC1=CC=C(C=C1)C=O,19787731
279616,CCCC1=CC=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C=O,14987390
49484,C1=CC=C(C=C1)COC2=C(C=C(C=C2F)CC=O)F,59455550
244067,COC1=CC(=C(C(=C1F)C=O)F)SC,164894493
194079,CC(CC=O)(C1=CC(=CC(=C1)F)F)O,65986687
245885,CC(C)(C)OC(=O)NC(C=O)C1=CC(=C(C=C1F)F)F,165698869
214570,C1CC2CN(CC2C1)C3=C(C(=CC=C3)F)C=O,108302317
194381,C1=CC(=C(C=C1Br)F)N2C=C(N=N2)C=O,66216219
149752,C1=CC2=C(C=C1OC(F)(F)F)N=NN(C2C=O)CCCCBr,175073870
247861,C1=CC(=C(C=C1C=O)OC(F)(F)F)I,168442523
245043,CC(CCF)(C=O)C1=CC=CC=C1,165587951
202882,C1=C(N=CC(=N1)C(F)F)C=O,84650694
245740,CC(C)(C)OC(=O)NC(C=O)C1=C(C=C(C=C1)F)N(C)C,165673766
96596,C1=CC(=C(C(=C1OC(F)(F)F)C=O)OC(F)(F)F)OC(F)(F)F,139966058
186177,C1=CC(=CC=C1C=O)OCC(=O)NC2=CC(=CC(=C2)F)F,41880950
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-],69074
236257,CSC1=CC(=C(C=C1)C(F)(F)F)C=O,131466181
153390,C1=CC(=C(C(=C1)OCC2=C(C=C(C=C2)Cl)F)F)C=O,175862936
89383,CC1=NN(C(=C1)C=O)CC2=CC=C(C=C2)F,131584465
35723,C1CN(CCC1C(=O)N2CC3=CC=CC=C3C[C@@H]2CO)C4=CC=C(C=C4)C=O,177662836
140060,C1=C(C(=CO)C(=C(C1=CO)F)C=O)F,173437481
42153,C1=C(C(=C(C(=C1F)F)F)CC=O)F,22667333
135040,CCC1=CC(=CC2=CC(=NN21)C3=C(C=C(C=C3)C4CC4C=O)F)C(=O)N5CCC6=CC=CC=C6[C@H]5C,170110025
43680,C1=CC(=C(C=C1OC(F)(F)F)OC(F)(F)F)C=O,53420118
185701,CC1=CC(=C(N1C2=C(C=CC=C2F)F)C)C=O,28974630
126222,COC1=CC(=CC(=C1OC=C(F)F)OC)C=O,164932509
222915,CC(C)(C)OC(=O)CSC1=C(C=C(C=C1)C=O)F,116687735
58852,C1=CC(=C(C=C1F)F)N2C(=C(C(=N2)Cl)C=O)Cl,87406477
34632,COC1=CC=C(C=C1)C(=NO)C=O,139928680
233145,C1=C(C(=C(N=C1[N+](=O)[O-])C=O)C(F)F)I,130086716
186833,C1CS(=O)(=O)CCN1C2=C(C=C(C=C2)C=O)F,43581616
249274,C1=C(OC(=C1)C2=CC(=C(C(=C2)F)I)F)C=O,169331906
38887,C1=C(OC(=C1)F)C=O,18413346
130047,C[C@@H]1CN(C[C@@H](N1CC(C=O)C2=CC(=C(C(=C2)F)C3CC3)F)C)C4=NN=C(C=C4)Cl,167119952
234783,CN1C=C(N=N1)C2=CC(=C(C=C2)F)C=O,130602972
28976,C(=C=C=O)C=O,14795057
140849,C(C/C(=C/C=C(N)N)/N)C(CN=CC(=NN)C=O)F,173855079
168946,C1CCC2(CC1)O[C@@H]3[C@H]([C@H](O[C@@H]3O2)C=O)N=[N+]=[N-],122221741
286863,C1C2=CC(C=CC2=CC3=C1OCO3)(C=O)C(=O)C4=CN=CN4,18769042
291080,C1COC(CN1)C(C=O)N,19834989
161989,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CCCNC(=NCCC[C@@H](C=O)N)N)O)O)N,154700551
59887,C1CC(CN(C1=O)C([C@H](CC=O)N)N2CCC3=C(C2)N=C(S3)C(F)(F)F)(F)F,87527185
140725,C1C(=C(NC(=N1)C2=NC=CS2)CC(CO)(C=O)O)C(=CC=NC(F)F)N,173809696
169289,C1C=CC=CS1=CC=O,129629693
285662,C1[C@H]2[C@@H]([C@@H](S1)CCCC(=S)C=O)NC(=O)N2,18632490
134986,CNC1(CC1)CN(CCC2CCC(=C)CC2)C3=C(OC4=CC=C=C(C=C43)CF)C=O,170094999
18617,C[C@@H](C1=CC2=C(C=C1)[C@@H]3C[C@H]4[C@@]5(O4)CC=CC(=O)[C@@]5([C@H]3CC2)C)[C@@H](C[C@@](C)([C@](C)(C=O)O)O)O,163106436
33798,C([C@@]1([C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)O)O)O)O)C=O)O,129645034
176664,CC1(O[C@H]([C@H](O1)[C@@H](COS(=O)(=O)C)OCOC)CC=O)C,138983857
286850,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C34CCC(CC3)(OC4)C=O,18767721
23451,C1COCCC1(CC=O)C#N,165495254
164283,C(=O)C(C1=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,14613555
262499,CCN(CC)CC1=C(SC2=C1CCCC2)C=O,44121813
171130,C(CCCCC1(SS1)C=O)CCCCS,129824040
140514,CC/C(=C/CCl)/C(=C\CC=C)/C1=NOC(=C1C=O)C2=C(N(N=C2)/C(=C/C/C=C\CCF)/C)C,173722133
123994,C1C2=C(NC(=O)C3=C2C(=CS3)OCC1(F)F)C=O,162755487
174275,C[C@@H]1[C@H]2C(C(C(=O)N1)(C(=O)O2)OCSC)C=O,134964722
290249,C1CSCN1CC=O,19748890
134829,CCC(C1=C(C(=CC=C1)C(F)F)F)NC\2=NC(=N/C(=C/C=O)/C2=C\N(C)C3(CC3)C4=CC=NC=C4)C,170064539
288407,CC1=CC=C(C=C1)S(=O)(=O)OC2=C3C(=C(C(=C2CC4=CC(CC4)(C)CC=O)OC)C)COC3=O,19046285
180532,C(=O)C1(C2C3C(N=C(NC34C(C1OC(C4O)(O2)O)O)N)O)O,156021
31662,C1=CC(NC=C1)(C=O)N,55285225
32445,C(=NN(C(=N)N)C(=N)N)C=O,85999199
176270,C(=O)C(=[N+]=[N-])Cl,137302767
95146,CC1=CC(=CC(N1)NCC2=CC(=CC(=C2)F)C3=CC(=CNC3)C)N(C)CCC(C=O)(C#N)C4CC4,139332782
153684,C1[C@@H]2CN([C@H]1CO2)C3=NC4=C(C(=NN4C=C3)C5=CN(N=C5C(F)F)C6CC(C6)C=O)C(=O)N,175931244
17559,C[C@@]12CC3=C([C@@](C1CCC(=C)[C@H]2/C=C/C4=CCOC4=O)(C)C=O)N=C(S3)N,171349477
17837,C(CCC=O)CCNC1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N,171115214
25789,CC(C)CC(=O)C1=C(C(=C(C(=C1O)C=O)O)C[C@@H]2CC[C@@]([C@H]3[C@]2(CC[C@H](C3)C(=C)C)C)(C)O)O,172453541
142299,COCC1=C(C=C2C3=N/C(=C/C(=C(\C(=C)F)/Cl)/F)/CC(=C3CN2C1=O)CN)C(C=O)O,174335670
95514,CC1=C(C(=NC(=N1)Cl)N(C)C(C)C(F)(F)F)NC(=NCC2=NC=C(C=N2)S(=O)C)C=O,139437517
107239,C1[C@H](OC(S1)C=O)CC(=O)N=C(/C(=C\N)/F)N,144736925
174701,CCCCCC1[C@H](N1S(=O)(=O)C(C)(C)C)C=O,134999049
68680,CN(C[C@@]1(CC(CN1)(F)F)C=O)S(=O)(=O)N2CCN(CC23CC3)C4=NC=NC5=C4C=CN5,88925268
277988,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=O)C)CCC(=O)O)/C=C\3/C(=C(C(=O)N3)C=C)C,13988204
169893,C1C=CN(C1(CO)C=O)CCCCC(C(=O)O)N,129710118
141261,CN1C(=C(C2=C1N=C(S2)CC(=C(C=N)F)N)/C=N\N(C)CC3=C(C=NN3)F)C=O,174020829
129722,C[C@H](C1CC1)NC2=NC(=NC(=N2)C#CC3(CC3)C=O)N[C@H](C)C(F)(F)F,167061031
134967,CCC/C(=C(/C=C\1/C/C(=C\2/C(CCC3=C2C(=CC(=C3C)F)N=C)NC)/CN1C)\C(CC=O)C=C)/C=C,170092398
93887,C1CC([C@H](C(C1)N2CC3=C(C2=O)C=C(C=N3)C(=N)OC(=N)C(F)F)N)C4CC4(C=O)C(F)F,137472532
23779,C=CC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)/C(=N\OCC(=O)O)/C2=CSC(=N2)N)C(=O)O,138857431
134629,CC(=NC1=C(C(=C(C=C1)CN2CCN(CC2)/C(=C(/C)\F)/C=C\C(=C)C(=C)NC)Cl)NC)C=O,170001023
158594,C1CSC(SC1)C(C2(SCCCS2)C=O)O,289242
170706,C1C(=[N+](CN1)[O-])C=O,129793564
171214,C1CSC2=CC=C(S2)CC3(OC(C(C1=O)(O3)C(=O)C(CS)C(=O)O)S)C=O,129830800
115360,C[C@@H](C1=NC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CCC3)NC4=NC=NC(=C4C=O)N/C=C(\C)/F,155000138
179867,C(=O)C1=C(ON=N1)NNC(=S)N,172636068
105886,CN(CCC(=O)N1CCCCCC1)CC(CC=O)C(=C)C2=C(OC3=C2C=NC=C3)C(=C)OC(F)F,144266638
94765,C=C(/C=C\C=C(\C1C[C@@H](NC1C=O)CO)/F)Cl,138646687
161908,C1=CC([C@H](C(=C1)C2=CC=C(C=C2)S(=O)(=O)N)O)C=O,135567281
243301,CC(=O)C1(C2C(C(OC2(C1C(F)(F)F)C=O)N)(C=C)F)O,162589652
16037,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C3=NC=C(O3)C=O)/C)[C@H](C)O,10596850
169593,C1=NC2=C(N1)C(=O)N(C(=O)N2)OC(CC=O)C(CO)O,129669628
145792,C1=CC2=C(C3=C(C=C(C=C3)O)OC2=CC1C=O)C4=C(C(=C(C(=C4S(=O)(=O)O)F)F)F)F,174613999
162050,C[C@H]([C@@H](C=O)[C@H]1C[C@H]([C@@H](N1)C(=O)O)SCCN=CN)O,166638185
17334,C/C(=C\CC12C(=O)C3CC(C14C5(C3O5)C(=O)C6=C(C=CC=C6O4)O)CO2)/CC=O,155561717
76628,CC1CC2=C(C=C1)N=C(S2)C3=C(N=C(N=C3Cl)NCCF)NC4CC(C(C4O)C=O)CO,90958176
81247,C1CC(C(N(C1)C2C(CO2)N3CCC4=C(C3)NN=C4C=O)C(F)(F)F)F,118483454
159357,C1=CC(=C(N=C1)N)C2=NC3=C(N2C4=CC=C(C=C4)CNC(=O)C5=NC(=C(C=C5)O)C=O)N=CC=C3,169175371
274444,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1C3=CN4C(=CN=C4C=O)S3)C(=O)OCOC(=O)C(C)(C)C)[C@@H](C)O,12070037
31693,C1CC2=CC3C=C4C=CC(=CC5=CC=C(N5)C(C6=CC=C(C1C2=N3)N6)C=O)N4,56627729
33788,C(=O)[C@@]([C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O,129642561
69148,CC(C)C1=C(C(=NC(=N1)NC)C(=C)/C=C\CF)CC[C@H](C[C@H](CC=O)O)O,88961275
73519,CCC1=C(N=C(C(=N1)C=O)NC2=CCC(C=C2)N3CCN(CC3)C)OC4=C(C(=CCC4)N)F,89709142
105596,C1CC2(CCC(CC2)(CCN(C3=CC=C(C=C3)C(C(F)F)O)N)C=O)OC1,144169840
169585,C(=CC(C=O)C(C(=O)N)N)C#CC(=O)C(=O)N,129669058
267947,CC1(C(=NC2=C(N1)N=C(NC2=O)/N=C/N(C)C)C=O)C,135417247
282087,CC1(C(C1C(C(Cl)(Cl)Br)Br)C=O)C,17770166
285769,C(=O)[C@@H]([C@H]([C@@H]([C@@H](C(O)OS(=O)(=O)O)O)O)O)NOS(=O)(=O)O,18639646
285934,CO[C@H](CN=[N+]=[N-])[C@@H]([C@H](C=O)OC)OC,18654074
135373,C/C=C\C(=C(\C)/C(=C)C(F)F)\C1=C2CCCN2C(=C1C)C(=O)C(=C)NC3(CC(C3)(F)F)C=O,170196853
12172,C[C@H]1[C@H](C2(CCN(CC2)C3=NC=C(C4=NC=CN43)SC5=CC=CC6=C5SC=C6C=O)CO1)N,146466934
156465,C[C@@H]1CN(C[C@@H](O1)C2CN(N=C2)COC)C3=NC(=C(C(=N3)N)C=O)C45CC(C4)(C5)C(F)(F)F,177137166
243239,C1=CC(=C2C=C(C(OC2=C1)C(F)(F)F)C(C=O)N=C(N)N)C3=CC=NO3,162577665
23676,CCCCCC(C(CC=O)SCC(C(=O)[O-])[NH3+])O,90657989
264481,CO[C@@H]1[C@H]2[C@@H]3C=C[C@]4([C@]2([C@H](O1)CSC4)C=O)O3,10562893
110303,COC1CC(CC(C1OS(=O)(=O)C(F)(F)F)Cl)C=O,145830645
145628,C1C(CN(C1C#N)C(C=O)Br)F,174606705
93480,CC1=CC2=C(CC=CC2(C=O)N3C4=CC(=C(C=C4OC3=O)S(=O)(=O)NC5=NC=CS5)F)C=C1,137369790
23550,C1COC(O1)C2=C(N=C(S2)C=O)Br,165993812
139061,CNS(=O)N(CC=O)C1=C(C=CC(=C1F)C2=CCCC(NC2)CCC3CC3(F)F)O,172608015
157378,CC(COCC1=CN(N=N1)C2CCN(C2)C3=NC(=CS3)C=O)NC4=C(C(=O)NN=C4)C(F)(F)F,177936892
91178,CC1CC1N2C(=O)C3=C(N(C2=O)CCC(C(F)F)(F)F)SC(=C3C)C=O,134366825
152634,CC(C)(C)NC1=C2C(=CC(=N1)C3(CNCCO3)C=O)CC(CN2)C(F)(F)F,175581720
151173,C1CCNNCCC(NCNC1)C2C(CCC3=C2C=CC4=C5CCC=CC5=C(C=C34)F)C6(CC6)C=O,175296971
174578,C1CCOC(C1)OCOCCC=O,134987354
179712,CC1=C2[C@H](C#C/C=C\C#C[C@@H]([C@@H]2C=O)C(=C1)OC)NC3=C4C(=C(C=C3)O)C(=O)C5=CC=CC=C5C4=O,170459455
45617,C(C1=NC(NC(N1CC(F)(F)F)(N)N(CC(F)(F)F)COCO)C=O)O,57083388
171102,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C([C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)C=O)OC,129821634
